2001-403,102831,24.6872005476,121,337,,Q
2001-403,101727,30.9568788501,69,601,,
2001-403,102821,24.7255304586,122,335,,Q
2001-403,102834,24.6214921287,92,434,,
2001-403,103909,19.1786447639,47,791,,
2001-403,102106,28.5639972621,55,721,,
2001-403,102148,28.2737850787,52,750,,
2001-403,101774,30.6967830253,36,945,,
2001-403,103018,23.7015742642,41,835,,
2001-403,102925,24.1423682409,118,343,,Q
2001-403,103714,20.076659822,49,780,,
2001-403,103248,22.6201232033,51,757,,
2001-403,104053,18.5516769336,119,340,,WC
2001-403,103356,21.9493497604,78,543,,
2001-403,103017,23.704312115,39,880,,
2001-403,103420,21.6043805613,65,649,,
2001-403,102610,25.7330595483,38,885,,
2001-403,102369,26.9541409993,61,667,,
2001-403,101733,30.9295003422,85,461,,Q
2001-403,102950,24.0301163587,34,970,,
2001-403,102539,26.0670773443,45,811,,
2001-403,103264,22.4969199179,48,790,,
2001-403,102911,24.1889117043,95,421,,Q
2001-403,101843,30.1711156742,74,579,,
2001-403,102231,27.7618069815,54,728,,
2001-403,103397,21.7138945927,117,348,,WC
2001-403,102776,24.9171800137,40,860,,
2001-403,102703,25.2073921971,81,489,,
2001-403,102035,28.9883641342,44,820,,
2001-403,101647,31.4496919918,56,710,,
2001-403,102607,25.7467488022,68,605,,
2001-403,102856,24.5201916496,1,4465,1,
2001-403,102563,25.9876796715,25,1140,25,
2001-403,103819,19.6112251882,24,1180,24,
2001-403,102882,24.3613963039,16,1565,16,
2001-403,102374,26.9377138946,10,2000,10,
2001-403,101611,31.7590691307,20,1320,20,
2001-403,101532,32.3997262149,29,1020,29,
2001-403,102158,28.2217659138,8,2075,8,
2001-403,101736,30.8884325804,3,3365,3,
2001-403,102184,28.0273785079,30,1010,30,
2001-403,103163,22.9596167009,23,1205,23,
2001-403,103103,23.2032854209,13,1800,13,
2001-403,103096,23.2525667351,11,1990,11,
2001-403,102845,24.5585215606,22,1220,22,
2001-403,103166,22.9486652977,27,1078,27,
2001-403,102796,24.8021902806,6,2635,6,
2001-403,103720,20.0629705681,7,2575,7,
2001-403,102839,24.5968514716,28,1030,28,
2001-403,102644,25.5742642026,18,1498,18,
2001-403,102450,26.5325119781,9,2050,9,
2001-403,103206,22.8062970568,15,1760,15,
2001-403,102318,27.1403148528,21,1220,21,
2001-403,102701,25.2292950034,26,1135,26,
2001-403,101948,29.6016427105,4,3305,4,
2001-403,102338,27.0800821355,5,2675,5,
2001-403,103292,22.2751540041,31,1000,31,
2001-403,101965,29.5085557837,17,1540,17,
2001-403,103507,21.0978781656,12,1870,12,
2001-403,102358,27.0171115674,14,1775,14,
2001-403,102998,23.7919233402,19,1430,19,
2001-403,102765,24.9582477755,32,995,32,
2001-403,103498,21.1416837782,2,4270,2,
2001-560,101888,30.4065708419,761,12,,
2001-560,102856,24.9609856263,1,4505,1,
2001-560,103252,23.0198494182,38,983,,
2001-560,103709,20.5448323066,91,456,,
2001-560,103292,22.7159479808,53,700,,
2001-560,103018,24.1423682409,44,780,,
2001-560,101885,30.4449007529,58,663,,
