name,128,64,32,16,8,4,2,1,reached
Alessandro Giannessi,1.0000,0.3811,0.1179,0.0242,0.0037,0.0016,0.0000,0.0000,absent
Donald Young,1.0000,0.3618,0.1127,0.0268,0.0077,0.0014,0.0000,0.0000,absent
Stefano Travaglia,1.0000,0.4217,0.1410,0.0321,0.0072,0.0014,0.0000,0.0000,absent
Andrey Kuznetsov,1.0000,0.3900,0.1341,0.0341,0.0068,0.0014,0.0000,0.0000,absent
Gianluigi Quinzi,1.0000,0.4318,0.1577,0.0395,0.0059,0.0014,0.0000,0.0000,absent
Adam Pavlasek,1.0000,0.3900,0.1226,0.0304,0.0087,0.0013,0.0000,0.0000,64
Guido Andreozzi,1.0000,0.4180,0.1435,0.0367,0.0078,0.0013,0.0000,0.0000,64
Pierre Hugues Herbert,1.0000,0.4218,0.1459,0.0380,0.0075,0.0013,0.0000,0.0000,32
Roberto Quiroz,1.0000,0.3213,0.0773,0.0133,0.0053,0.0013,0.0000,0.0000,absent
Akira Santillan,1.0000,0.2894,0.0762,0.0138,0.0019,0.0013,0.0000,0.0000,absent
Quentin Halys,1.0000,0.3992,0.1348,0.0312,0.0064,0.0012,0.0000,0.0000,absent
Mohamed Safwat,1.0000,0.3468,0.0932,0.0168,0.0036,0.0012,0.0000,0.0000,128
Mikhail Youzhny,1.0000,0.3774,0.1240,0.0299,0.0055,0.0011,0.0000,0.0000,128
Dudi Sela,1.0000,0.3818,0.1209,0.0268,0.0053,0.0011,0.0000,0.0000,128
Florian Mayer,1.0000,0.4219,0.1504,0.0377,0.0075,0.0010,0.0000,0.0000,128
Malek Jaziri,1.0000,0.3930,0.1283,0.0324,0.0063,0.0010,0.0000,0.0000,64
Filip Peliwo,1.0000,0.2938,0.0676,0.0167,0.0029,0.0010,0.0000,0.0000,absent
Matteo Donati,1.0000,0.3832,0.1191,0.0232,0.0027,0.0009,0.0000,0.0000,absent
Mackenzie Mcdonald,1.0000,0.3450,0.0935,0.0162,0.0033,0.0008,0.0000,0.0000,absent
Liam Broady,1.0000,0.3485,0.1069,0.0277,0.0023,0.0008,0.0000,0.0000,absent
Cedrik Marcel Stebe,1.0000,0.4077,0.1359,0.0336,0.0064,0.0007,0.0000,0.0000,absent
Horacio Zeballos,1.0000,0.3846,0.1218,0.0253,0.0047,0.0007,0.0000,0.0000,64
Radu Albot,1.0000,0.3448,0.0955,0.0178,0.0025,0.0007,0.0000,0.0000,64
Jerzy Janowicz,1.0000,0.4361,0.1533,0.0383,0.0056,0.0006,0.0000,0.0000,absent
Noah Rubin,1.0000,0.3553,0.1071,0.0224,0.0047,0.0006,0.0000,0.0000,128
Dennis Novak,1.0000,0.3435,0.0906,0.0194,0.0047,0.0006,0.0000,0.0000,absent
Jason Kubler,1.0000,0.3187,0.0862,0.0119,0.0025,0.0006,0.0000,0.0000,absent
Tobias Kamke,1.0000,0.2994,0.0569,0.0088,0.0025,0.0006,0.0000,0.0000,absent
Bernard Tomic,1.0000,0.4155,0.1341,0.0305,0.0059,0.0005,0.0000,0.0000,128
Sergiy Stakhovsky,1.0000,0.3777,0.1180,0.0280,0.0046,0.0005,0.0000,0.0000,64
Corentin Moutet,1.0000,0.3548,0.1052,0.0214,0.0033,0.0005,0.0000,0.0000,64
Marcel Granollers,1.0000,0.3773,0.1164,0.0182,0.0027,0.0005,0.0000,0.0000,absent
Renzo Olivo,1.0000,0.3495,0.0890,0.0190,0.0025,0.0005,0.0000,0.0000,absent
Ricardo Ojeda Lara,1.0000,0.3455,0.0905,0.0168,0.0023,0.0005,0.0000,0.0000,absent
Joao Domingues,1.0000,0.3168,0.0850,0.0105,0.0014,0.0005,0.0000,0.0000,absent
Reilly Opelka,1.0000,0.4171,0.1442,0.0304,0.0067,0.0004,0.0000,0.0000,absent
Jurgen Zopp,1.0000,0.3241,0.0863,0.0185,0.0048,0.0004,0.0000,0.0000,32
Matthew Ebden,1.0000,0.3743,0.1125,0.0235,0.0034,0.0004,0.0000,0.0000,128
Lukas Lacko,1.0000,0.3374,0.0911,0.0200,0.0031,0.0004,0.0000,0.0000,absent
Carlos Taberner,1.0000,0.2965,0.0669,0.0104,0.0012,0.0004,0.0000,0.0000,128
Matteo Berrettini,1.0000,0.3886,0.1218,0.0272,0.0043,0.0003,0.0000,0.0000,32
Michael Mmoh,1.0000,0.3434,0.0959,0.0172,0.0028,0.0003,0.0000,0.0000,absent
Calvin Hemery,1.0000,0.3285,0.0900,0.0164,0.0019,0.0003,0.0000,0.0000,128
Ruben Bemelmans,1.0000,0.3586,0.1046,0.0188,0.0031,0.0002,0.0000,0.0000,64
Thomas Fabbiano,1.0000,0.3110,0.0718,0.0120,0.0026,0.0002,0.0000,0.0000,64
Peter Polansky,1.0000,0.3031,0.0690,0.0107,0.0015,0.0002,0.0000,0.0000,128
Ze Zhang,1.0000,0.3370,0.1020,0.0240,0.0060,0.0000,0.0000,0.0000,absent
Pablo Andujar,1.0000,0.4042,0.1216,0.0253,0.0053,0.0000,0.0000,0.0000,128
Dennis Novikov,1.0000,0.3782,0.1164,0.0218,0.0045,0.0000,0.0000,0.0000,absent
Thien Nguyen Hoang,1.0000,0.3768,0.1168,0.0291,0.0041,0.0000,0.0000,0.0000,absent
Yoshihito Nishioka,1.0000,0.3250,0.0860,0.0155,0.0035,0.0000,0.0000,0.0000,128
Jaume Munar,1.0000,0.3153,0.0874,0.0158,0.0026,0.0000,0.0000,0.0000,64
Ernesto Escobedo,1.0000,0.3692,0.1129,0.0229,0.0025,0.0000,0.0000,0.0000,absent
Felix Auger Aliassime,1.0000,0.3524,0.0924,0.0210,0.0024,0.0000,0.0000,0.0000,absent
Blaz Rola,1.0000,0.3578,0.0950,0.0189,0.0022,0.0000,0.0000,0.0000,absent
Matthias Bachinger,1.0000,0.3283,0.0850,0.0111,0.0022,0.0000,0.0000,0.0000,absent
Dustin Brown,1.0000,0.3383,0.0921,0.0138,0.0021,0.0000,0.0000,0.0000,absent
Facundo Bagnis,1.0000,0.3142,0.0696,0.0133,0.0021,0.0000,0.0000,0.0000,absent
Daniel Gimeno Traver,1.0000,0.3053,0.0820,0.0153,0.0020,0.0000,0.0000,0.0000,absent
Rogerio Dutra Silva,1.0000,0.3309,0.0869,0.0146,0.0020,0.0000,0.0000,0.0000,128
Adrian Menendez Maceiras,1.0000,0.2748,0.0681,0.0110,0.0019,0.0000,0.0000,0.0000,absent
Steve Darcis,1.0000,0.3112,0.0806,0.0135,0.0018,0.0000,0.0000,0.0000,absent
Soon Woo Kwon,1.0000,0.2153,0.0382,0.0071,0.0018,0.0000,0.0000,0.0000,absent
Mitchell Krueger,1.0000,0.3237,0.0821,0.0100,0.0016,0.0000,0.0000,0.0000,absent
Gleb Sakharov,1.0000,0.2500,0.0450,0.0060,0.0015,0.0000,0.0000,0.0000,absent
Marco Trungelliti,1.0000,0.3171,0.0789,0.0125,0.0014,0.0000,0.0000,0.0000,64
Kenny De Schepper,1.0000,0.2964,0.0641,0.0082,0.0014,0.0000,0.0000,0.0000,absent
Alex Bolt,1.0000,0.2973,0.0840,0.0107,0.0013,0.0000,0.0000,0.0000,absent
Norbert Gombos,1.0000,0.2678,0.0589,0.0100,0.0011,0.0000,0.0000,0.0000,absent
Christopher Eubanks,1.0000,0.2916,0.0674,0.0095,0.0011,0.0000,0.0000,0.0000,absent
Brayden Schnur,1.0000,0.2726,0.0647,0.0079,0.0011,0.0000,0.0000,0.0000,absent
Go Soeda,1.0000,0.2572,0.0511,0.0072,0.0011,0.0000,0.0000,0.0000,absent
Blaz Kavcic,1.0000,0.2992,0.0754,0.0069,0.0008,0.0000,0.0000,0.0000,absent
Arthur De Greef,1.0000,0.2220,0.0373,0.0060,0.0007,0.0000,0.0000,0.0000,absent
Vincent Millot,1.0000,0.2100,0.0343,0.0050,0.0007,0.0000,0.0000,0.0000,absent
Kevin King,1.0000,0.2007,0.0407,0.0043,0.0007,0.0000,0.0000,0.0000,absent
Luca Vanni,1.0000,0.2556,0.0511,0.0078,0.0006,0.0000,0.0000,0.0000,absent
Brandon Perez,1.0000,0.2687,0.0606,0.0031,0.0006,0.0000,0.0000,0.0000,absent
Nino Serdarusic,1.0000,0.1906,0.0318,0.0024,0.0006,0.0000,0.0000,0.0000,absent
Hubert Hurkacz,1.0000,0.3010,0.0671,0.0110,0.0005,0.0000,0.0000,0.0000,64
Attila Balazs,1.0000,0.2836,0.0627,0.0100,0.0005,0.0000,0.0000,0.0000,absent
Stefan Kozlov,1.0000,0.2884,0.0595,0.0079,0.0005,0.0000,0.0000,0.0000,absent
Bradley Klahn,1.0000,0.2635,0.0605,0.0075,0.0005,0.0000,0.0000,0.0000,absent
Pedro Martinez Portero,1.0000,0.2076,0.0310,0.0029,0.0005,0.0000,0.0000,0.0000,absent
Jason Jung,1.0000,0.1762,0.0267,0.0024,0.0005,0.0000,0.0000,0.0000,absent
John Patrick Smith,1.0000,0.2927,0.0642,0.0104,0.0004,0.0000,0.0000,0.0000,absent
Miomir Kecmanovic,1.0000,0.1948,0.0283,0.0048,0.0004,0.0000,0.0000,0.0000,absent
Guilherme Clezar,1.0000,0.2433,0.0460,0.0053,0.0000,0.0000,0.0000,0.0000,absent
Aleksandr Nedovyesov,1.0000,0.2312,0.0436,0.0048,0.0000,0.0000,0.0000,0.0000,absent
Tsung Hua Yang,1.0000,0.2354,0.0400,0.0038,0.0000,0.0000,0.0000,0.0000,absent
Gregoire Barrere,1.0000,0.1584,0.0189,0.0037,0.0000,0.0000,0.0000,0.0000,128
Uladzimir Ignatik,1.0000,0.1983,0.0306,0.0028,0.0000,0.0000,0.0000,0.0000,absent
Juan Ignacio Londero,1.0000,0.2055,0.0320,0.0020,0.0000,0.0000,0.0000,0.0000,absent
Marc Polmans,1.0000,0.2204,0.0308,0.0020,0.0000,0.0000,0.0000,0.0000,absent
Salvatore Caruso,1.0000,0.1742,0.0247,0.0016,0.0000,0.0000,0.0000,0.0000,absent
Sumit Nagal,1.0000,0.1713,0.0257,0.0013,0.0000,0.0000,0.0000,0.0000,absent
Dejan Petrovic,1.0000,0.1489,0.0174,0.0011,0.0000,0.0000,0.0000,0.0000,absent
Dominik Koepfer,1.0000,0.1329,0.0150,0.0007,0.0000,0.0000,0.0000,0.0000,absent
Hugo Dellien,1.0000,0.1580,0.0135,0.0005,0.0000,0.0000,0.0000,0.0000,absent
Constant Lestienne,1.0000,0.1014,0.0093,0.0000,0.0000,0.0000,0.0000,0.0000,absent
Benjamin Bonzi,1.0000,0.0756,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,absent
Ivan Nedelko,1.0000,0.0587,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,absent
