ht,age,rank,rank_points,common_ratio,common_ace,common_df,common_1st_in,common_1st_win,common_2nd_win,common_serve_win,common_break_saved,common_break_lost,common_return_1st_win,common_return_2nd_win,common_ace_faced,common_break_win,common_points_win,avg_ratio,avg_ace,avg_df,avg_1st_in,avg_1st_win,avg_2nd_win,avg_serve_win,avg_break_saved,avg_break_lost,avg_return_1st_win,avg_return_2nd_win,avg_ace_faced,avg_break_win,avg_points_win,common_completeness,common_serve1_adv,common_serve2_adv,avg_completeness,avg_serve1_adv,avg_serve2_adv,outcome,name_1,name_2,date,level,B365_1,B365_2,EX_1,EX_2,LB_1,LB_2,PS_1,PS_2,Max_1,Max_2,Avg_1,Avg_2
,-3.24161533,104,-400,-0.039976914,-0.001066092,0.02145738,0.006962976,-0.021506831,-0.045274032,-0.029466562,-0.06174666,0.074914606,0.036042129,0.01179329,-0.037036445,0.00638243,-0.000179394,-0.039976914,-0.001066092,0.02145738,0.006962976,-0.021506831,-0.045274032,-0.029466562,-0.06174666,0.074914606,0.036042129,0.01179329,-0.037036445,0.00638243,-0.000179394,0.007466068,0.014535299,-0.033480743,0.007466068,0.014535299,-0.033480743,1,Adam Pavlasek,Mirza Basic,28/05/2018,G,1.5,2.62,1.45,2.55,,,1.47,2.9,1.54,2.9,1.49,2.65
,-4.67351129,66,-319,0.116568513,-0.012009443,-0.002699247,0.057450393,-0.00335089,0.048294668,0.026334388,0.066200441,-0.111448308,-0.031574999,0.007705746,0.000368673,-0.001045447,0.008863487,0.116568513,-0.012009443,-0.002699247,0.057450393,-0.00335089,0.048294668,0.026334388,0.066200441,-0.111448308,-0.031574999,0.007705746,0.000368673,-0.001045447,0.008863487,0.004788339,-0.03492589,0.056000414,0.004788339,-0.03492589,0.056000414,1,Casper Ruud,Jordan Thompson,28/05/2018,G,1.33,3.4,1.25,3.6,1.3,3.5,1.28,4.14,1.33,4.15,1.27,3.76
-2,7.15674196,-12,123,0.129778756,0.010032064,-0.01798889,-0.063089905,0.027087862,0.020577267,0.014203745,0.024272411,-0.044389558,0.023539272,0.02815704,-0.028281711,0.007433274,0.017983786,0.121009606,0.010344389,-0.01776734,-0.065937153,0.02844598,0.020531928,0.014576343,0.029378937,-0.04968782,0.022572131,0.026242957,-0.026542994,0.006576547,0.017171796,0.04285445,0.050627134,0.048734306,0.04141017,0.051018111,0.046774884,1,Gilles Simon,Nikoloz Basilashvili,28/05/2018,G,1.57,2.37,1.53,2.34,1.57,2.37,1.56,2.6,1.62,2.63,1.56,2.44
5,-0.06023272,-47,566,0.085161852,0.007978863,0.013675257,-0.002485617,0.013790124,0.010910563,0.012315677,0.004042441,-0.027702878,0.017779179,-0.015808639,-0.016408837,0.00112195,0.007295681,0.079846544,0.008067255,0.013610156,-0.002310577,0.013556746,0.011236004,0.012318676,0.000359775,-0.026681565,0.017751511,-0.015395153,-0.016306409,0.000924622,0.007093103,0.011063838,0.031569303,-0.004898076,0.011300527,0.031308257,-0.004159149,1,Albert Ramos,Mikhail Kukushkin,28/05/2018,G,1.61,2.3,1.59,2.22,1.61,2.25,1.66,2.37,1.67,2.39,1.62,2.3
2,-1.57152635,-35,256,-0.015594532,0.004054511,0.000183278,-0.075004399,0.036447909,-0.010498161,0.001603015,0.043627082,-0.015592097,-0.022665404,-0.00548873,0.014027988,-0.003540511,-0.005658619,-0.011516889,0.004193735,-3.78E-05,-0.074865458,0.036935279,-0.010125278,0.002043051,0.043141436,-0.016690865,-0.021929776,-0.004896785,0.013746764,-0.003344577,-0.005231991,-0.016038508,0.013782505,-0.015986892,-0.014874645,0.015005503,-0.015022063,1,Malek Jaziri,Mikhail Youzhny,28/05/2018,G,1.3,3.5,1.28,3.35,1.33,3.4,1.32,3.74,1.33,3.8,1.3,3.55
,10.28884326,-43,1192,0.087060239,0.06795171,0.008495068,-0.02217634,0.076884095,-0.016364213,0.033724302,0.049529515,-0.066505286,0.004260367,-0.023222012,-0.025987286,-0.002572497,0.012238432,0.095413344,0.068317943,0.008881452,-0.02266578,0.077565603,-0.01734929,0.033679569,0.053462769,-0.066454365,0.005084041,-0.023823769,-0.028538902,-0.002303649,0.012668377,0.012701148,0.081144462,-0.039586225,0.012811461,0.082649644,-0.041173059,1,Sam Querrey,Francis Tiafoe,28/05/2018,G,2.1,1.72,2.07,1.68,2.1,1.73,2.2,1.75,2.21,1.77,2.13,1.72
,2.45037645,-118,1735,0.277686686,-0.047153063,-0.035944055,-0.011397609,-0.011294042,0.07922131,0.021649497,0.054287953,0.014376068,0.037209972,0.108900932,0.020305171,0.024339756,0.042840648,0.277686686,-0.047153063,-0.035944055,-0.011397609,-0.011294042,0.07922131,0.021649497,0.054287953,0.014376068,0.037209972,0.108900932,0.020305171,0.024339756,0.042840648,0.102537552,0.02591593,0.188122241,0.102537552,0.02591593,0.188122241,1,Diego Sebastian Schwartzman,Calvin Hemery,28/05/2018,G,1.11,7,1.11,5.6,1.11,6.5,1.11,8.05,1.14,8.5,1.1,7.04
-5,-2.32169747,-18,350,0.153326336,-0.002534568,-0.002883413,0.043787699,0.013932083,0.036195228,0.031422236,0.002319931,-0.05358409,0.015633912,0.020870232,0.004903492,0.00493231,0.021598646,0.160798777,-0.002526449,-0.003160552,0.043473367,0.014246611,0.036754323,0.031773622,0.001681451,-0.054631003,0.015921359,0.02155122,0.004869022,0.005103965,0.022017623,0.048699884,0.029565995,0.05706546,0.04958243,0.03016797,0.058305543,1,Richard Gasquet,Andreas Seppi,28/05/2018,G,1.36,3.2,1.32,3.1,1.36,3.25,1.33,3.64,1.39,3.64,1.35,3.26
-1,3.54277892,9,-95,0.070490994,-0.020922622,0.007058647,0.03054608,-0.004209005,0.035137395,0.018565636,0.031463447,-0.04569559,0.002441812,0.002721667,0.002464162,0.000456003,0.010096127,0.070490994,-0.020922622,0.007058647,0.03054608,-0.004209005,0.035137395,0.018565636,0.031463447,-0.04569559,0.002441812,0.002721667,0.002464162,0.000456003,0.010096127,0.017986877,-0.001767192,0.037859062,0.017986877,-0.001767192,0.037859062,1,Pablo Cuevas,Aljaz Bedene,28/05/2018,G,1.66,2.2,1.65,2.11,1.73,2.1,1.72,2.25,1.73,2.31,1.69,2.19
15,3.31279945,-1068,4942,0.331695799,0.020829139,-0.00645681,0.007927817,0.042573776,0.028213015,0.038143302,-0.028627945,-0.036891826,0.064258858,0.053308642,-0.039411996,0.012719688,0.040430559,0.331695799,0.020829139,-0.00645681,0.007927817,0.042573776,0.028213015,0.038143302,-0.028627945,-0.036891826,0.064258858,0.053308642,-0.039411996,0.012719688,0.040430559,0.105342539,0.106832634,0.081521657,0.105342539,0.106832634,0.081521657,1,Marin Cilic,James Duckworth,28/05/2018,G,1.01,21,1.01,12,1.01,21,1.01,25.99,1.03,28.4,1.01,19.49
