name,128,64,32,16,8,4,2,1
Sergiy Stakhovsky,100.0\%,37.39\%,11.51\%,2.35\%,0.33999999999999997\%,0.05\%,0.0\%,0.0\%
Ruben Bemelmans,100.0\%,33.1\%,8.9\%,1.76\%,0.24\%,0.05\%,0.0\%,0.0\%
Thomas Fabbiano,100.0\%,35.010000000000005\%,9.65\%,1.7399999999999998\%,0.22\%,0.05\%,0.0\%,0.0\%
Luca Vanni,100.0\%,27.139999999999997\%,5.64\%,0.5\%,0.05\%,0.05\%,0.0\%,0.0\%
Andreas Seppi,100.0\%,42.01\%,13.87\%,3.0300000000000002\%,0.49\%,0.04\%,0.0\%,0.0\%
Mackenzie Mcdonald,100.0\%,40.07\%,13.239999999999998\%,2.96\%,0.48\%,0.04\%,0.0\%,0.0\%
Nikola Milojevic,100.0\%,43.5\%,15.540000000000001\%,3.73\%,0.45999999999999996\%,0.04\%,0.0\%,0.0\%
Ramkumar Ramanathan,100.0\%,41.57\%,12.65\%,2.78\%,0.43\%,0.04\%,0.0\%,0.0\%
Matthew Ebden,100.0\%,38.3\%,11.92\%,2.5100000000000002\%,0.42\%,0.04\%,0.0\%,0.0\%
Ricardas Berankis,100.0\%,39.93\%,12.26\%,2.3\%,0.42\%,0.04\%,0.0\%,0.0\%
Michael Mmoh,100.0\%,35.63\%,10.67\%,2.13\%,0.29\%,0.04\%,0.0\%,0.0\%
Noah Rubin,100.0\%,34.17\%,7.88\%,1.4200000000000002\%,0.21\%,0.04\%,0.0\%,0.0\%
Jurgen Zopp,100.0\%,34.36\%,9.64\%,1.8399999999999999\%,0.2\%,0.04\%,0.0\%,0.0\%
Corentin Moutet,100.0\%,31.819999999999997\%,8.07\%,1.39\%,0.18\%,0.04\%,0.0\%,0.0\%
Facundo Bagnis,100.0\%,34.35\%,8.91\%,2.17\%,0.16999999999999998\%,0.04\%,0.0\%,0.0\%
Alex Bolt,100.0\%,26.96\%,5.36\%,0.6799999999999999\%,0.12\%,0.04\%,0.0\%,0.0\%
Mitchell Krueger,100.0\%,31.169999999999998\%,8.08\%,1.25\%,0.08\%,0.04\%,0.0\%,0.0\%
Peter Polansky,100.0\%,29.25\%,6.08\%,0.75\%,0.04\%,0.04\%,0.0\%,0.0\%
Jordan Thompson,100.0\%,39.660000000000004\%,12.47\%,2.58\%,0.44\%,0.03\%,0.0\%,0.0\%
Prajnesh Gunneswaran,100.0\%,37.08\%,10.83\%,1.8599999999999999\%,0.22\%,0.02\%,0.0\%,0.0\%
Paolo Lorenzi,100.0\%,33.43\%,8.110000000000001\%,1.41\%,0.16\%,0.02\%,0.0\%,0.0\%
Juan Ignacio Londero,100.0\%,34.64\%,9.76\%,1.48\%,0.13\%,0.02\%,0.0\%,0.0\%
Marcel Granollers,100.0\%,38.7\%,12.08\%,2.5100000000000002\%,0.33\%,0.01\%,0.0\%,0.0\%
Guido Andreozzi,100.0\%,34.82\%,9.24\%,1.54\%,0.32\%,0.01\%,0.0\%,0.0\%
Malek Jaziri,100.0\%,36.9\%,10.79\%,1.9900000000000002\%,0.24\%,0.01\%,0.0\%,0.0\%
Brayden Schnur,100.0\%,33.29\%,8.49\%,1.32\%,0.16\%,0.01\%,0.0\%,0.0\%
Yosuke Watanuki,100.0\%,48.4\%,19.400000000000002\%,5.07\%,0.8\%,0.0\%,0.0\%,0.0\%
Quentin Halys,100.0\%,36.71\%,10.530000000000001\%,2.53\%,0.53\%,0.0\%,0.0\%,0.0\%
Viktor Galovic,100.0\%,38.73\%,11.600000000000001\%,2.4699999999999998\%,0.53\%,0.0\%,0.0\%,0.0\%
Rudolf Molleker,100.0\%,36.18\%,10.35\%,2.35\%,0.53\%,0.0\%,0.0\%,0.0\%
Marco Trungelliti,100.0\%,37.43\%,11.379999999999999\%,2.62\%,0.48\%,0.0\%,0.0\%,0.0\%
Matteo Donati,100.0\%,36.93\%,9.87\%,2.6\%,0.47000000000000003\%,0.0\%,0.0\%,0.0\%
Daniel Brands,100.0\%,33.379999999999995\%,9.569999999999999\%,1.71\%,0.43\%,0.0\%,0.0\%,0.0\%
Stefano Napolitano,100.0\%,38.82\%,11.27\%,2.27\%,0.41000000000000003\%,0.0\%,0.0\%,0.0\%
Stefano Travaglia,100.0\%,38.37\%,10.41\%,1.96\%,0.41000000000000003\%,0.0\%,0.0\%,0.0\%
Bjorn Fratangelo,100.0\%,40.35\%,12.29\%,1.82\%,0.41000000000000003\%,0.0\%,0.0\%,0.0\%
Daniel Elahi Galan Riveros,100.0\%,36.42\%,10.74\%,2.32\%,0.37\%,0.0\%,0.0\%,0.0\%
James Duckworth,100.0\%,31.41\%,8.41\%,1.41\%,0.35000000000000003\%,0.0\%,0.0\%,0.0\%
Mohamed Safwat,100.0\%,36.83\%,9.92\%,2.08\%,0.33\%,0.0\%,0.0\%,0.0\%
Jason Kubler,100.0\%,37.21\%,10.89\%,2.37\%,0.32\%,0.0\%,0.0\%,0.0\%
Viktor Troicki,100.0\%,37.5\%,9.86\%,1.79\%,0.29\%,0.0\%,0.0\%,0.0\%
Thanasi Kokkinakis,100.0\%,35.620000000000005\%,10.38\%,2.0\%,0.27\%,0.0\%,0.0\%,0.0\%
Guillermo Garcia Lopez,100.0\%,38.26\%,10.89\%,1.8900000000000001\%,0.26\%,0.0\%,0.0\%,0.0\%
Filip Horansky,100.0\%,29.849999999999998\%,7.75\%,1.25\%,0.25\%,0.0\%,0.0\%,0.0\%
Santiago Giraldo,100.0\%,34.0\%,8.12\%,1.18\%,0.24\%,0.0\%,0.0\%,0.0\%
Thomaz Bellucci,100.0\%,37.62\%,12.31\%,2.15\%,0.22999999999999998\%,0.0\%,0.0\%,0.0\%
Lucas Miedler,100.0\%,24.11\%,4.22\%,0.44\%,0.22\%,0.0\%,0.0\%,0.0\%
Filippo Baldi,100.0\%,30.8\%,6.75\%,1.25\%,0.2\%,0.0\%,0.0\%,0.0\%
