name,128,64,32,16,8,4,2,1
Yannick Hanfmann,100.0\%,38.95\%,12.45\%,2.2\%,0.4\%,0.1\%,0.0\%,0.0\%
Robin Haase,100.0\%,45.74\%,16.66\%,4.35\%,0.77\%,0.09\%,0.0\%,0.0\%
Marcos Baghdatis,100.0\%,42.61\%,16.04\%,4.17\%,0.65\%,0.09\%,0.0\%,0.0\%
Elias Ymer,100.0\%,38.32\%,11.71\%,2.17\%,0.36\%,0.09\%,0.0\%,0.0\%
Blaz Rola,100.0\%,35.0\%,9.09\%,2.09\%,0.36\%,0.09\%,0.0\%,0.0\%
Jack Sock,100.0\%,48.16\%,19.56\%,4.76\%,0.88\%,0.08\%,0.0\%,0.0\%
Pablo Andujar,100.0\%,40.59\%,13.33\%,2.99\%,0.52\%,0.08\%,0.0\%,0.0\%
Lukas Lacko,100.0\%,35.42\%,9.84\%,1.68\%,0.22\%,0.08\%,0.0\%,0.0\%
Filip Krajinovic,100.0\%,47.57\%,18.42\%,4.74\%,0.87\%,0.07\%,0.0\%,0.0\%
Radu Albot,100.0\%,40.81\%,13.37\%,3.68\%,0.53\%,0.07\%,0.0\%,0.0\%
Dustin Brown,100.0\%,31.8\%,7.8\%,1.33\%,0.47\%,0.07\%,0.0\%,0.0\%
Vasek Pospisil,100.0\%,39.56\%,10.72\%,2.56\%,0.33\%,0.06\%,0.0\%,0.0\%
Jurij Rodionov,100.0\%,38.06\%,10.81\%,1.56\%,0.31\%,0.06\%,0.0\%,0.0\%
Matthias Bachinger,100.0\%,37.63\%,10.8\%,2.23\%,0.29\%,0.06\%,0.0\%,0.0\%
Constant Lestienne,100.0\%,34.24\%,10.06\%,2.0\%,0.29\%,0.06\%,0.0\%,0.0\%
Alexey Vatutin,100.0\%,40.12\%,12.76\%,2.88\%,0.24\%,0.06\%,0.0\%,0.0\%
Maximilian Marterer,100.0\%,44.37\%,15.31\%,3.69\%,0.58\%,0.05\%,0.0\%,0.0\%
Feliciano Lopez,100.0\%,42.73\%,14.23\%,3.32\%,0.56\%,0.05\%,0.0\%,0.0\%
Ryan Harrison,100.0\%,43.62\%,15.55\%,3.73\%,0.55\%,0.05\%,0.0\%,0.0\%
Andrej Martin,100.0\%,43.55\%,15.9\%,3.7\%,0.55\%,0.05\%,0.0\%,0.0\%
Yannick Maden,100.0\%,42.76\%,13.9\%,3.05\%,0.49\%,0.05\%,0.0\%,0.0\%
Simone Bolelli,100.0\%,36.45\%,10.85\%,2.25\%,0.4\%,0.05\%,0.0\%,0.0\%
Lukas Rosol,100.0\%,37.8\%,11.15\%,2.2\%,0.35\%,0.05\%,0.0\%,0.0\%
Sergiy Stakhovsky,100.0\%,37.39\%,11.51\%,2.35\%,0.34\%,0.05\%,0.0\%,0.0\%
Ruben Bemelmans,100.0\%,33.1\%,8.9\%,1.76\%,0.24\%,0.05\%,0.0\%,0.0\%
Thomas Fabbiano,100.0\%,35.01\%,9.65\%,1.74\%,0.22\%,0.05\%,0.0\%,0.0\%
Luca Vanni,100.0\%,27.14\%,5.64\%,0.5\%,0.05\%,0.05\%,0.0\%,0.0\%
Andreas Seppi,100.0\%,42.01\%,13.87\%,3.03\%,0.49\%,0.04\%,0.0\%,0.0\%
Mackenzie Mcdonald,100.0\%,40.07\%,13.24\%,2.96\%,0.48\%,0.04\%,0.0\%,0.0\%
Nikola Milojevic,100.0\%,43.5\%,15.54\%,3.73\%,0.46\%,0.04\%,0.0\%,0.0\%
Ramkumar Ramanathan,100.0\%,41.57\%,12.65\%,2.78\%,0.43\%,0.04\%,0.0\%,0.0\%
Matthew Ebden,100.0\%,38.3\%,11.92\%,2.51\%,0.42\%,0.04\%,0.0\%,0.0\%
Ricardas Berankis,100.0\%,39.93\%,12.26\%,2.3\%,0.42\%,0.04\%,0.0\%,0.0\%
Michael Mmoh,100.0\%,35.63\%,10.67\%,2.13\%,0.29\%,0.04\%,0.0\%,0.0\%
Noah Rubin,100.0\%,34.17\%,7.88\%,1.42\%,0.21\%,0.04\%,0.0\%,0.0\%
Jurgen Zopp,100.0\%,34.36\%,9.64\%,1.84\%,0.2\%,0.04\%,0.0\%,0.0\%
Corentin Moutet,100.0\%,31.82\%,8.07\%,1.39\%,0.18\%,0.04\%,0.0\%,0.0\%
Facundo Bagnis,100.0\%,34.35\%,8.91\%,2.17\%,0.17\%,0.04\%,0.0\%,0.0\%
Alex Bolt,100.0\%,26.96\%,5.36\%,0.68\%,0.12\%,0.04\%,0.0\%,0.0\%
Mitchell Krueger,100.0\%,31.17\%,8.08\%,1.25\%,0.08\%,0.04\%,0.0\%,0.0\%
Peter Polansky,100.0\%,29.25\%,6.08\%,0.75\%,0.04\%,0.04\%,0.0\%,0.0\%
Jordan Thompson,100.0\%,39.66\%,12.47\%,2.58\%,0.44\%,0.03\%,0.0\%,0.0\%
Prajnesh Gunneswaran,100.0\%,37.08\%,10.83\%,1.86\%,0.22\%,0.02\%,0.0\%,0.0\%
Paolo Lorenzi,100.0\%,33.43\%,8.11\%,1.41\%,0.16\%,0.02\%,0.0\%,0.0\%
Juan Ignacio Londero,100.0\%,34.64\%,9.76\%,1.48\%,0.13\%,0.02\%,0.0\%,0.0\%
Marcel Granollers,100.0\%,38.7\%,12.08\%,2.51\%,0.33\%,0.01\%,0.0\%,0.0\%
Guido Andreozzi,100.0\%,34.82\%,9.24\%,1.54\%,0.32\%,0.01\%,0.0\%,0.0\%
Malek Jaziri,100.0\%,36.9\%,10.79\%,1.99\%,0.24\%,0.01\%,0.0\%,0.0\%
Brayden Schnur,100.0\%,33.29\%,8.49\%,1.32\%,0.16\%,0.01\%,0.0\%,0.0\%
Yosuke Watanuki,100.0\%,48.4\%,19.4\%,5.07\%,0.8\%,0.0\%,0.0\%,0.0\%
Quentin Halys,100.0\%,36.71\%,10.53\%,2.53\%,0.53\%,0.0\%,0.0\%,0.0\%
Viktor Galovic,100.0\%,38.73\%,11.6\%,2.47\%,0.53\%,0.0\%,0.0\%,0.0\%
Rudolf Molleker,100.0\%,36.18\%,10.35\%,2.35\%,0.53\%,0.0\%,0.0\%,0.0\%
Marco Trungelliti,100.0\%,37.43\%,11.38\%,2.62\%,0.48\%,0.0\%,0.0\%,0.0\%
Matteo Donati,100.0\%,36.93\%,9.87\%,2.6\%,0.47\%,0.0\%,0.0\%,0.0\%
Daniel Brands,100.0\%,33.38\%,9.57\%,1.71\%,0.43\%,0.0\%,0.0\%,0.0\%
Stefano Napolitano,100.0\%,38.82\%,11.27\%,2.27\%,0.41\%,0.0\%,0.0\%,0.0\%
Stefano Travaglia,100.0\%,38.37\%,10.41\%,1.96\%,0.41\%,0.0\%,0.0\%,0.0\%
Bjorn Fratangelo,100.0\%,40.35\%,12.29\%,1.82\%,0.41\%,0.0\%,0.0\%,0.0\%
Daniel Elahi Galan Riveros,100.0\%,36.42\%,10.74\%,2.32\%,0.37\%,0.0\%,0.0\%,0.0\%
James Duckworth,100.0\%,31.41\%,8.41\%,1.41\%,0.35\%,0.0\%,0.0\%,0.0\%
Mohamed Safwat,100.0\%,36.83\%,9.92\%,2.08\%,0.33\%,0.0\%,0.0\%,0.0\%
Jason Kubler,100.0\%,37.21\%,10.89\%,2.37\%,0.32\%,0.0\%,0.0\%,0.0\%
Viktor Troicki,100.0\%,37.5\%,9.86\%,1.79\%,0.29\%,0.0\%,0.0\%,0.0\%
Thanasi Kokkinakis,100.0\%,35.62\%,10.38\%,2.0\%,0.27\%,0.0\%,0.0\%,0.0\%
Guillermo Garcia Lopez,100.0\%,38.26\%,10.89\%,1.89\%,0.26\%,0.0\%,0.0\%,0.0\%
Filip Horansky,100.0\%,29.85\%,7.75\%,1.25\%,0.25\%,0.0\%,0.0\%,0.0\%
